stop_id,average_ons,average_offs,average_load,X,Y,Stop_ID,Stop_Name
64,12.1178571428571,0.0,12.4321428571429,-71.0864566,42.3297326,64,NUBIAN STATION
1,0.492857142857143,0.0535714285714286,12.8571428571429,-71.082754,42.3309570000001,1,WASHINGTON ST OPP RUGGLES ST
2,0.546428571428571,0.175,13.4107142857143,-71.0812519999999,42.332324,2,WASHINGTON ST @ MELNEA CASS BLVD
6,0.246428571428571,0.135714285714286,13.5071428571429,-71.079576,42.3320160000001,6,MELNEA CASS BLVD @ HARRISON AVE
10003,0.271428571428571,0.235714285714286,14.1714285714286,-71.0762369999999,42.3315910000001,10003,ALBANY ST OPP RANDALL ST
57,3.96428571428571,4.77857142857143,13.3857142857143,-71.073541,42.333825,57,MASSACHUSETTS AVE @ ALBANY ST
58,5.32857142857143,3.00357142857143,15.7392857142857,-71.0749309999999,42.3349480000001,58,MASSACHUSETTS AVE @ HARRISON AVE
10590,2.36428571428571,0.535714285714286,16.9214285714286,-71.0769559999999,42.336621,10590,MASSACHUSETTS AVE @ WASHINGTON ST
87,1.26785714285714,0.857142857142857,17.3178571428571,-71.080362,42.339459,87,MASSACHUSETTS AVE @ TREMONT ST
188,2.58928571428571,3.74642857142857,16.1535714285714,-71.083092,42.34157,188,MASSACHUSETTS AVE @ MASSACHUSETTS AVE STATION
89,1.88214285714286,1.42857142857143,16.6285714285714,-71.084121,42.3423030000001,89,MASSACHUSETTS AVE @ ST BOTOLPH ST
91,1.61428571428571,1.47857142857143,16.7571428571429,-71.086739,42.345331,91,MASSACHUSETTS AVE @ CLEARWAY ST
93,4.71071428571429,3.0,18.4821428571429,-71.0880329999999,42.3480050000001,93,MASSACHUSETTS AVE @ NEWBURY ST
95,1.29642857142857,0.292857142857143,19.4785714285714,-71.089334,42.3507730000001,95,MASSACHUSETTS AVE @ BEACON ST
97,1.28928571428571,3.0,17.825,-71.093543,42.359183,97,77 MASSACHUSETTS AVE
99,0.471428571428571,1.66071428571429,16.625,-71.095722,42.360758,99,MASSACHUSETTS AVE @ ALBANY ST 2
101,0.567857142857143,1.57857142857143,15.625,-71.099486,42.362988,101,MASSACHUSETTS AVE @ SIDNEY ST
102,1.525,5.46071428571429,11.7107142857143,-71.103404,42.3652910000001,102,MASSACHUSETTS AVE @ PROSPECT ST
104,0.585714285714286,0.907142857142857,11.3607142857143,-71.106017,42.366837,104,MASSACHUSETTS AVE @ BIGELOW ST
106,0.192857142857143,0.589285714285714,10.9464285714286,-71.108618,42.36839,106,MASSACHUSETTS AVE @ HANCOCK ST
107,0.0857142857142857,0.764285714285714,10.2392857142857,-71.1107729999999,42.369265,107,MASSACHUSETTS AVE @ DANA ST
108,0.107142857142857,1.41428571428571,8.93928571428571,-71.1129979999999,42.3702700000001,108,MASSACHUSETTS AVE @ TROWBRIDGE ST
109,0.025,1.46071428571429,7.50714285714286,-71.115371,42.372099,109,MASSACHUSETTS AVE @ BOW ST
110,0.0,7.07857142857143,0.428571428571429,-71.118124,42.3732590000001,110,MASSACHUSETTS AVE @ HOLYOKE ST
